volume_tests,company_id,company_type,time,date,month,year,day,is_weekend,season,avg_pesq_score,quality_too_poor,number_busy,temporarily_unable_test,outage_hrs,number_test_types,numbers_tested,followup_tests,min_commit
134,130,Conference,2019-03-05,5,3,2019,Tues,0,Spring,3.633465,0,0,0,72,2,73,0,nan
301,130,Conference,2019-03-06,6,3,2019,Wed,0,Spring,3.559352,0,0,0,72,2,20,0,nan
455,130,Conference,2019-03-07,7,3,2019,Thurs,0,Spring,3.547241,0,0,0,72,1,18,0,nan
455,130,Conference,2019-03-08,8,3,2019,Fri,0,Spring,3.55378,0,0,0,72,1,18,0,nan
323,130,Conference,2019-03-09,9,3,2019,Sat,1,Spring,3.819206,0,4,0,86.68,2,167,0,nan
646,130,Conference,2019-03-10,10,3,2019,Sun,1,Spring,3.812605,0,10,0,120,1,148,0,nan
1073,130,Conference,2019-03-11,11,3,2019,Mon,0,Spring,3.702253,5,4,0,113.59,1,166,0,nan
1279,130,Conference,2019-03-12,12,3,2019,Tues,0,Spring,3.698507,2,4,0,84.11,2,167,0,nan
1672,130,Conference,2019-03-13,13,3,2019,Wed,0,Spring,3.719612,0,0,22,96,1,166,0,nan
1674,130,Conference,2019-03-14,14,3,2019,Thurs,0,Spring,3.713175,1,4,16,96,1,166,0,nan
1728,130,Conference,2019-03-15,15,3,2019,Fri,0,Spring,3.668385,11,0,0,96,1,169,0,nan
406,130,Conference,2019-03-16,16,3,2019,Sat,1,Spring,3.810658,0,0,0,96,1,152,0,nan
447,130,Conference,2019-03-17,17,3,2019,Sun,1,Spring,3.804863,0,0,0,96,1,151,0,nan
2126,130,Conference,2019-03-18,18,3,2019,Mon,0,Spring,3.669871,0,1,17,97.95,1,185,0,nan
2020,130,Conference,2019-03-19,19,3,2019,Tues,0,Spring,3.659879,0,0,18,97.72,1,182,0,nan
2033,130,Conference,2019-03-20,20,3,2019,Wed,0,Spring,3.672469,0,0,0,96,1,188,0,nan
1996,130,Conference,2019-03-21,21,3,2019,Thurs,0,Spring,3.660357,0,0,0,96,1,188,0,nan
1953,130,Conference,2019-03-22,22,3,2019,Fri,0,Spring,3.652579,0,0,0,96,1,183,0,nan
390,130,Conference,2019-03-23,23,3,2019,Sat,1,Spring,3.816821,0,0,0,96,1,149,0,nan
431,130,Conference,2019-03-24,24,3,2019,Sun,1,Spring,3.800749,0,0,0,96,1,149,0,nan
1680,130,Conference,2019-03-25,25,3,2019,Mon,0,Spring,3.644488,0,1,4,99.58,2,185,0,nan
2135,130,Conference,2019-03-26,26,3,2019,Tues,0,Spring,3.631954,1,2,9,103.68,1,189,0,nan
2140,130,Conference,2019-03-27,27,3,2019,Wed,0,Spring,3.63208,1,0,0,96,1,183,0,nan
2140,130,Conference,2019-03-28,28,3,2019,Thurs,0,Spring,3.621946,3,0,0,96,1,183,0,nan
2140,130,Conference,2019-03-29,29,3,2019,Fri,0,Spring,3.638205,2,0,0,96,1,183,0,nan
506,130,Conference,2019-03-30,30,3,2019,Sat,1,Spring,3.751748,0,0,1,96,1,188,0,nan
564,130,Conference,2019-03-31,31,3,2019,Sun,1,Spring,3.778535,0,0,3,96,1,188,0,nan
2199,130,Conference,2019-04-01,1,4,2019,Mon,0,Spring,3.656609,1,2,7,96,1,188,0,nan
2143,130,Conference,2019-04-02,2,4,2019,Tues,0,Spring,3.669342,0,0,0,96,2,186,0,nan
2140,130,Conference,2019-04-03,3,4,2019,Wed,0,Spring,3.649264,0,3,0,107.85,1,183,0,nan
2139,130,Conference,2019-04-04,4,4,2019,Thurs,0,Spring,3.662551,0,0,0,96,1,183,0,nan
2140,130,Conference,2019-04-05,5,4,2019,Fri,0,Spring,3.672617,0,0,12,96,1,183,0,nan
512,130,Conference,2019-04-06,6,4,2019,Sat,1,Spring,3.763163,0,7,0,132.06,2,192,0,nan
564,130,Conference,2019-04-07,7,4,2019,Sun,1,Spring,3.775753,0,3,0,120.37,1,188,0,nan
