volume_tests,company_id,company_type,time,date,month,year,day,is_weekend,season,avg_pesq_score,quality_too_poor,number_busy,temporarily_unable_test,outage_hrs,number_test_types,numbers_tested,followup_tests
21963,2,Enterprise,2017-01-01,1,1,2017,Sun,1,Winter,3.881135,0,12,0,0.9,3,234,0
38224,2,Enterprise,2017-01-02,2,1,2017,Mon,0,Winter,3.8713565,5,13,55,0.7,3,2071,0
39066,2,Enterprise,2017-01-03,3,1,2017,Tues,0,Winter,3.853797,22,43,58,12.81,3,2090,10
39399,2,Enterprise,2017-01-04,4,1,2017,Wed,0,Winter,3.8528425,7,56,65,28.08,3,2104,40
38744,2,Enterprise,2017-01-05,5,1,2017,Thurs,0,Winter,3.854277,23,50,73,45.3,3,2070,0
38838,2,Enterprise,2017-01-06,6,1,2017,Fri,0,Winter,3.8637025,7,62,53,46.65,3,2042,20
23587,2,Enterprise,2017-01-07,7,1,2017,Sat,1,Winter,3.8741635,0,0,1,48,3,303,0
22439,2,Enterprise,2017-01-08,8,1,2017,Sun,1,Winter,3.8538445,0,6,3,48.4,3,236,0
38793,2,Enterprise,2017-01-09,9,1,2017,Mon,0,Winter,3.8520835,6,11,21,48.25,3,2092,0
39744,2,Enterprise,2017-01-10,10,1,2017,Tues,0,Winter,3.8600505,6,2879,51,2959.17,3,2056,30
41394,2,Enterprise,2017-01-11,11,1,2017,Wed,0,Winter,3.85448,57,87,36,685.95,3,2104,30
39500,2,Enterprise,2017-01-12,12,1,2017,Thurs,0,Winter,3.848915,18,33,13,124.34,3,2122,10
38937,2,Enterprise,2017-01-13,13,1,2017,Fri,0,Winter,3.847807,9,79,10,171.8,3,2038,48
23773,2,Enterprise,2017-01-14,14,1,2017,Sat,1,Winter,3.8554795,1,11,13,195.15,3,304,10
22677,2,Enterprise,2017-01-15,15,1,2017,Sun,1,Winter,3.8401595,0,28,0,226.26,3,238,10
38928,2,Enterprise,2017-01-16,16,1,2017,Mon,0,Winter,3.8619965,11,24,9,240.1,3,2066,0
39461,2,Enterprise,2017-01-17,17,1,2017,Tues,0,Winter,3.854172,4,115,812,254.57,3,2066,10
39266,2,Enterprise,2017-01-18,18,1,2017,Wed,0,Winter,3.845148,3,397,529,418.24,3,2054,0
40382,2,Enterprise,2017-01-19,19,1,2017,Thurs,0,Winter,3.8559425,1,372,63,447.41,3,2064,10
40081,2,Enterprise,2017-01-20,20,1,2017,Fri,0,Winter,3.85467,13,137,6,377.49,3,2025,20
24176,2,Enterprise,2017-01-21,21,1,2017,Sat,1,Winter,3.869456,1,96,0,337.75,3,305,10
23024,2,Enterprise,2017-01-22,22,1,2017,Sun,1,Winter,3.857498,2,54,0,336.25,3,239,0
