company,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31
1,100000.0,100000.0,100000.0,58333.0,100000.0,58333.0,58333.0,58333.0,58333.0,58333.0,58333.0,58333.0,58333.0,58333.0,58333.0,58333.0,58333.0,58333.0,58333.0,58333.0,58333.0,58333.0,58333.0,58333.0,58333.0,58333.0,58333.0,58333.0,58333.0
2,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0
3,,,,,,,,,,,,,,,,,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
4,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
6,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0,5715.0
7,,,,,,,,,,,22222.0,22222.0,22222.0,,22222.0,22222.0,22222.0,22222.0,22222.0,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,2667.0,2667.0,2667.0,2667.0,2667.0,2667.0,2667.0,2667.0,2667.0,2667.0,2667.0,2667.0,2667.0,2667.0,2667.0,2667.0,2667.0,2667.0,2667.0,2667.0,2667.0,2667.0,2667.0,2667.0,2667.0,2667.0,2667.0
11,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,15094.0,15094.0,15094.0
